text,label
The study demonstrated significant improvement in overall survival.,Normal Trial
Unexpected mortality was observed due to neurological complications.,Safety Risk
The trial met all primary and secondary endpoints successfully.,Normal Trial
The trial met all primary and secondary endpoints successfully.,Normal Trial
No statistically significant difference was observed in progression-free survival.,Efficacy Concern
Unexpected mortality was observed due to cardiac arrest.,Safety Risk
Treatment was well tolerated with minimal adverse effects.,Normal Trial
Treatment was well tolerated with minimal adverse effects.,Normal Trial
The trial reported severe adverse events including neurological complications.,Safety Risk
Patients experienced grade 3 toxicity such as hepatotoxicity.,Safety Risk
Poor treatment compliance led to dropout in 34% of cases.,Dropout Risk
Lack of efficacy was evident in overall survival outcomes.,Efficacy Concern
The study demonstrated significant improvement in overall survival.,Normal Trial
The trial reported severe adverse events including hepatotoxicity.,Safety Risk
The trial reported severe adverse events including neurological complications.,Safety Risk
High patient compliance and positive safety profile were observed.,Normal Trial
No statistically significant difference was observed in clinical remission.,Efficacy Concern
Poor treatment compliance led to dropout in 29% of cases.,Dropout Risk
Patient retention was low with 32% discontinuation.,Dropout Risk
The primary endpoint clinical remission was not met.,Efficacy Concern
The trial met all primary and secondary endpoints successfully.,Normal Trial
High patient compliance and positive safety profile were observed.,Normal Trial
Unexpected mortality was observed due to hepatotoxicity.,Safety Risk
The study demonstrated significant improvement in overall survival.,Normal Trial
Patient retention was low with 30% discontinuation.,Dropout Risk
41% of patients withdrew due to intolerable side effects.,Dropout Risk
The trial failed to show significant improvement in clinical remission.,Efficacy Concern
Patient retention was low with 46% discontinuation.,Dropout Risk
The trial reported severe adverse events including hepatotoxicity.,Safety Risk
High patient compliance and positive safety profile were observed.,Normal Trial
The study demonstrated significant improvement in overall survival.,Normal Trial
Treatment was well tolerated with minimal adverse effects.,Normal Trial
Unexpected mortality was observed due to neurological complications.,Safety Risk
Patient retention was low with 40% discontinuation.,Dropout Risk
The trial failed to show significant improvement in clinical remission.,Efficacy Concern
29% of patients withdrew due to intolerable side effects.,Dropout Risk
Significant safety concerns were raised after cases of severe infection.,Safety Risk
The trial reported severe adverse events including renal failure.,Safety Risk
Patients experienced grade 3 toxicity such as neurological complications.,Safety Risk
High patient compliance and positive safety profile were observed.,Normal Trial
Results confirmed the treatment's effectiveness and safety.,Normal Trial
Patients experienced grade 3 toxicity such as cardiac arrest.,Safety Risk
Poor treatment compliance led to dropout in 33% of cases.,Dropout Risk
The study demonstrated significant improvement in overall survival.,Normal Trial
A high discontinuation rate of 25% was observed.,Dropout Risk
Poor treatment compliance led to dropout in 47% of cases.,Dropout Risk
The study reported early withdrawal in 32% participants.,Dropout Risk
Significant safety concerns were raised after cases of severe infection.,Safety Risk
Lack of efficacy was evident in symptom improvement outcomes.,Efficacy Concern
Results confirmed the treatment's effectiveness and safety.,Normal Trial
High patient compliance and positive safety profile were observed.,Normal Trial
49% of patients withdrew due to intolerable side effects.,Dropout Risk
A high discontinuation rate of 25% was observed.,Dropout Risk
The study demonstrated significant improvement in overall survival.,Normal Trial
Lack of efficacy was evident in tumor response rate outcomes.,Efficacy Concern
The trial met all primary and secondary endpoints successfully.,Normal Trial
High incidence of serious adverse reactions like hepatotoxicity.,Safety Risk
Poor treatment compliance led to dropout in 52% of cases.,Dropout Risk
A high discontinuation rate of 57% was observed.,Dropout Risk
The trial failed to show significant improvement in overall survival.,Efficacy Concern
Patient retention was low with 44% discontinuation.,Dropout Risk
Significant safety concerns were raised after cases of severe infection.,Safety Risk
Lack of efficacy was evident in tumor response rate outcomes.,Efficacy Concern
Poor treatment compliance led to dropout in 32% of cases.,Dropout Risk
Unexpected mortality was observed due to renal failure.,Safety Risk
The trial reported severe adverse events including severe infection.,Safety Risk
The primary endpoint overall survival was not met.,Efficacy Concern
High incidence of serious adverse reactions like hepatotoxicity.,Safety Risk
The study reported early withdrawal in 49% participants.,Dropout Risk
High incidence of serious adverse reactions like renal failure.,Safety Risk
Treatment did not improve overall survival compared to placebo.,Efficacy Concern
The study reported early withdrawal in 27% participants.,Dropout Risk
Patients experienced grade 3 toxicity such as neurological complications.,Safety Risk
Treatment did not improve tumor response rate compared to placebo.,Efficacy Concern
Significant safety concerns were raised after cases of severe infection.,Safety Risk
Treatment was well tolerated with minimal adverse effects.,Normal Trial
The trial met all primary and secondary endpoints successfully.,Normal Trial
Treatment was well tolerated with minimal adverse effects.,Normal Trial
The trial reported severe adverse events including cardiac arrest.,Safety Risk
The primary endpoint overall survival was not met.,Efficacy Concern
46% of patients withdrew due to intolerable side effects.,Dropout Risk
The study reported early withdrawal in 45% participants.,Dropout Risk
36% of patients withdrew due to intolerable side effects.,Dropout Risk
Results confirmed the treatment's effectiveness and safety.,Normal Trial
Patient retention was low with 44% discontinuation.,Dropout Risk
High patient compliance and positive safety profile were observed.,Normal Trial
The primary endpoint symptom improvement was not met.,Efficacy Concern
No statistically significant difference was observed in clinical remission.,Efficacy Concern
Unexpected mortality was observed due to hepatotoxicity.,Safety Risk
High incidence of serious adverse reactions like neurological complications.,Safety Risk
Patient retention was low with 21% discontinuation.,Dropout Risk
The study demonstrated significant improvement in overall survival.,Normal Trial
A high discontinuation rate of 56% was observed.,Dropout Risk
No statistically significant difference was observed in symptom improvement.,Efficacy Concern
High patient compliance and positive safety profile were observed.,Normal Trial
Patients experienced grade 3 toxicity such as renal failure.,Safety Risk
The trial met all primary and secondary endpoints successfully.,Normal Trial
The trial reported severe adverse events including cardiac arrest.,Safety Risk
The study reported early withdrawal in 38% participants.,Dropout Risk
The trial failed to show significant improvement in clinical remission.,Efficacy Concern
Unexpected mortality was observed due to hepatotoxicity.,Safety Risk
Patients experienced grade 3 toxicity such as cardiac arrest.,Safety Risk
The trial reported severe adverse events including cardiac arrest.,Safety Risk
The trial reported severe adverse events including cardiac arrest.,Safety Risk
The study demonstrated significant improvement in overall survival.,Normal Trial
The trial met all primary and secondary endpoints successfully.,Normal Trial
Poor treatment compliance led to dropout in 60% of cases.,Dropout Risk
Patient retention was low with 44% discontinuation.,Dropout Risk
The trial reported severe adverse events including hepatotoxicity.,Safety Risk
Lack of efficacy was evident in overall survival outcomes.,Efficacy Concern
The primary endpoint progression-free survival was not met.,Efficacy Concern
Treatment did not improve tumor response rate compared to placebo.,Efficacy Concern
Poor treatment compliance led to dropout in 34% of cases.,Dropout Risk
High patient compliance and positive safety profile were observed.,Normal Trial
Patient retention was low with 27% discontinuation.,Dropout Risk
The trial reported severe adverse events including neurological complications.,Safety Risk
High incidence of serious adverse reactions like renal failure.,Safety Risk
Treatment was well tolerated with minimal adverse effects.,Normal Trial
Treatment did not improve tumor response rate compared to placebo.,Efficacy Concern
Treatment was well tolerated with minimal adverse effects.,Normal Trial
Results confirmed the treatment's effectiveness and safety.,Normal Trial
The trial met all primary and secondary endpoints successfully.,Normal Trial
The study reported early withdrawal in 30% participants.,Dropout Risk
41% of patients withdrew due to intolerable side effects.,Dropout Risk
Lack of efficacy was evident in progression-free survival outcomes.,Efficacy Concern
The study demonstrated significant improvement in overall survival.,Normal Trial
The trial met all primary and secondary endpoints successfully.,Normal Trial
The trial reported severe adverse events including neurological complications.,Safety Risk
The trial failed to show significant improvement in tumor response rate.,Efficacy Concern
Significant safety concerns were raised after cases of neurological complications.,Safety Risk
The trial reported severe adverse events including neurological complications.,Safety Risk
No statistically significant difference was observed in clinical remission.,Efficacy Concern
Unexpected mortality was observed due to cardiac arrest.,Safety Risk
The trial failed to show significant improvement in symptom improvement.,Efficacy Concern
High incidence of serious adverse reactions like cardiac arrest.,Safety Risk
Treatment was well tolerated with minimal adverse effects.,Normal Trial
High patient compliance and positive safety profile were observed.,Normal Trial
The study reported early withdrawal in 30% participants.,Dropout Risk
The trial reported severe adverse events including neurological complications.,Safety Risk
High incidence of serious adverse reactions like neurological complications.,Safety Risk
Results confirmed the treatment's effectiveness and safety.,Normal Trial
Poor treatment compliance led to dropout in 49% of cases.,Dropout Risk
Results confirmed the treatment's effectiveness and safety.,Normal Trial
Significant safety concerns were raised after cases of cardiac arrest.,Safety Risk
No statistically significant difference was observed in overall survival.,Efficacy Concern
Significant safety concerns were raised after cases of hepatotoxicity.,Safety Risk
The primary endpoint symptom improvement was not met.,Efficacy Concern
The trial failed to show significant improvement in clinical remission.,Efficacy Concern
24% of patients withdrew due to intolerable side effects.,Dropout Risk
Treatment did not improve clinical remission compared to placebo.,Efficacy Concern
Lack of efficacy was evident in symptom improvement outcomes.,Efficacy Concern
47% of patients withdrew due to intolerable side effects.,Dropout Risk
The trial failed to show significant improvement in clinical remission.,Efficacy Concern
No statistically significant difference was observed in symptom improvement.,Efficacy Concern
A high discontinuation rate of 43% was observed.,Dropout Risk
Patient retention was low with 22% discontinuation.,Dropout Risk
The trial failed to show significant improvement in progression-free survival.,Efficacy Concern
Treatment was well tolerated with minimal adverse effects.,Normal Trial
Results confirmed the treatment's effectiveness and safety.,Normal Trial
The trial reported severe adverse events including hepatotoxicity.,Safety Risk
Poor treatment compliance led to dropout in 26% of cases.,Dropout Risk
A high discontinuation rate of 46% was observed.,Dropout Risk
The trial reported severe adverse events including severe infection.,Safety Risk
No statistically significant difference was observed in progression-free survival.,Efficacy Concern
Unexpected mortality was observed due to hepatotoxicity.,Safety Risk
No statistically significant difference was observed in overall survival.,Efficacy Concern
The trial met all primary and secondary endpoints successfully.,Normal Trial
The trial failed to show significant improvement in tumor response rate.,Efficacy Concern
Poor treatment compliance led to dropout in 57% of cases.,Dropout Risk
Results confirmed the treatment's effectiveness and safety.,Normal Trial
The trial reported severe adverse events including renal failure.,Safety Risk
The primary endpoint progression-free survival was not met.,Efficacy Concern
The primary endpoint symptom improvement was not met.,Efficacy Concern
Patients experienced grade 3 toxicity such as cardiac arrest.,Safety Risk
The study demonstrated significant improvement in overall survival.,Normal Trial
Patient retention was low with 20% discontinuation.,Dropout Risk
The primary endpoint progression-free survival was not met.,Efficacy Concern
High incidence of serious adverse reactions like neurological complications.,Safety Risk
The trial met all primary and secondary endpoints successfully.,Normal Trial
44% of patients withdrew due to intolerable side effects.,Dropout Risk
Results confirmed the treatment's effectiveness and safety.,Normal Trial
The trial failed to show significant improvement in tumor response rate.,Efficacy Concern
Poor treatment compliance led to dropout in 23% of cases.,Dropout Risk
The primary endpoint progression-free survival was not met.,Efficacy Concern
Treatment did not improve overall survival compared to placebo.,Efficacy Concern
No statistically significant difference was observed in overall survival.,Efficacy Concern
Treatment was well tolerated with minimal adverse effects.,Normal Trial
Treatment did not improve symptom improvement compared to placebo.,Efficacy Concern
No statistically significant difference was observed in tumor response rate.,Efficacy Concern
High patient compliance and positive safety profile were observed.,Normal Trial
No statistically significant difference was observed in overall survival.,Efficacy Concern
Results confirmed the treatment's effectiveness and safety.,Normal Trial
A high discontinuation rate of 34% was observed.,Dropout Risk
No statistically significant difference was observed in clinical remission.,Efficacy Concern
The primary endpoint progression-free survival was not met.,Efficacy Concern
High patient compliance and positive safety profile were observed.,Normal Trial
Significant safety concerns were raised after cases of severe infection.,Safety Risk
The primary endpoint tumor response rate was not met.,Efficacy Concern
Unexpected mortality was observed due to severe infection.,Safety Risk
The trial reported severe adverse events including hepatotoxicity.,Safety Risk
A high discontinuation rate of 60% was observed.,Dropout Risk
The trial failed to show significant improvement in progression-free survival.,Efficacy Concern
Patient retention was low with 47% discontinuation.,Dropout Risk
The trial failed to show significant improvement in overall survival.,Efficacy Concern
Treatment was well tolerated with minimal adverse effects.,Normal Trial
No statistically significant difference was observed in tumor response rate.,Efficacy Concern
33% of patients withdrew due to intolerable side effects.,Dropout Risk
The primary endpoint symptom improvement was not met.,Efficacy Concern
Treatment did not improve clinical remission compared to placebo.,Efficacy Concern
30% of patients withdrew due to intolerable side effects.,Dropout Risk
Patients experienced grade 3 toxicity such as hepatotoxicity.,Safety Risk
37% of patients withdrew due to intolerable side effects.,Dropout Risk
A high discontinuation rate of 37% was observed.,Dropout Risk
Unexpected mortality was observed due to neurological complications.,Safety Risk
Significant safety concerns were raised after cases of hepatotoxicity.,Safety Risk
The primary endpoint clinical remission was not met.,Efficacy Concern
Patients experienced grade 3 toxicity such as renal failure.,Safety Risk
31% of patients withdrew due to intolerable side effects.,Dropout Risk
Significant safety concerns were raised after cases of hepatotoxicity.,Safety Risk
The study demonstrated significant improvement in overall survival.,Normal Trial
The trial reported severe adverse events including cardiac arrest.,Safety Risk
Treatment was well tolerated with minimal adverse effects.,Normal Trial
Treatment was well tolerated with minimal adverse effects.,Normal Trial
High patient compliance and positive safety profile were observed.,Normal Trial
The trial met all primary and secondary endpoints successfully.,Normal Trial
The study reported early withdrawal in 45% participants.,Dropout Risk
A high discontinuation rate of 21% was observed.,Dropout Risk
Treatment did not improve tumor response rate compared to placebo.,Efficacy Concern
The primary endpoint overall survival was not met.,Efficacy Concern
Treatment did not improve symptom improvement compared to placebo.,Efficacy Concern
37% of patients withdrew due to intolerable side effects.,Dropout Risk
A high discontinuation rate of 26% was observed.,Dropout Risk
Results confirmed the treatment's effectiveness and safety.,Normal Trial
Unexpected mortality was observed due to hepatotoxicity.,Safety Risk
High patient compliance and positive safety profile were observed.,Normal Trial
